time,state,north,east,down,tgt_n,tgt_e,tgt_d,obstacle,wp_index,geocage,geofence,inside,caged
22:38:07,MOVE,-0.009,-0.021,-4.943,5.0,5.0,-5.0,,1,1,1,1,0
22:38:07,MOVE,-0.008,-0.024,-4.942,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,0.0,-0.014,-4.943,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,0.045,0.046,-4.953,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,0.142,0.161,-4.956,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,0.308,0.331,-4.949,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,0.524,0.525,-4.936,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,0.775,0.726,-4.93,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,1.063,0.944,-4.931,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,1.405,1.202,-4.936,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,1.723,1.452,-4.942,5.0,5.0,-5.0,,1,1,1,1,0
22:38:08,MOVE,2.066,1.745,-4.95,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,2.395,2.052,-4.958,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,2.704,2.366,-4.967,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,2.966,2.648,-4.974,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,3.235,2.948,-4.981,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,3.484,3.231,-4.987,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,3.734,3.514,-4.992,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,3.942,3.749,-4.996,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,4.132,3.961,-4.999,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,4.302,4.15,-5.003,5.0,5.0,-5.0,,1,1,1,1,0
22:38:09,MOVE,4.48,4.342,-5.007,5.0,5.0,-5.0,,1,1,1,1,0
22:38:10,MOVE,4.6,4.47,-5.011,5.0,5.0,-5.0,,1,1,1,1,0
22:38:10,MOVE,4.727,4.602,-5.014,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:10,MOVE,4.827,4.705,-5.016,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:10,MOVE,4.941,4.799,-5.024,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:10,MOVE,5.058,4.835,-5.037,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:10,MOVE,5.239,4.805,-5.042,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:10,MOVE,5.391,4.727,-5.031,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:10,MOVE,5.643,4.527,-4.995,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:10,MOVE,5.875,4.276,-4.955,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:10,MOVE,6.093,3.992,-4.92,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,6.355,3.592,-4.886,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,6.57,3.216,-4.869,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,6.782,2.806,-4.862,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,7.01,2.315,-4.866,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,7.212,1.83,-4.882,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,7.407,1.32,-4.904,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,7.614,0.743,-4.934,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,7.779,0.271,-4.961,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,7.958,-0.248,-4.992,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:11,MOVE,8.152,-0.801,-5.028,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,8.308,-1.234,-5.056,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,8.494,-1.74,-5.087,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,8.657,-2.173,-5.11,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,8.83,-2.619,-5.129,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,8.992,-3.032,-5.142,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,9.145,-3.413,-5.148,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,9.287,-3.76,-5.149,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,9.418,-4.073,-5.147,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,9.527,-4.331,-5.144,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:12,MOVE,9.638,-4.586,-5.139,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:13,MOVE,9.738,-4.812,-5.134,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:13,MOVE,9.837,-5.028,-5.13,10.0,-6.0,-5.0,,2,1,1,1,0
22:38:13,MOVE,9.918,-5.201,-5.126,10.0,-6.0,-5.0,,2,1,1,1,0
