time,state,north,east,down,tgt_n,tgt_e,tgt_d,obstacle,wp_index,geocage,geofence,inside,caged,roll_deg,pitch_deg,yaw_deg,vn,ve,vd
15:33:51,MOVE,-0.023,0.073,-8.022,5.0,-13.0,-8.0,,0,1,1,1,0,-0.46,0.03,89.94,0.011,-0.051,0.003
15:33:51,MOVE,-0.025,0.075,-8.017,5.0,-13.0,-8.0,,0,1,1,1,0,-4.49,4.11,89.88,0.001,-0.045,0.13
15:33:51,MOVE,-0.023,0.072,-8.0,5.0,-13.0,-8.0,,0,1,1,1,0,-15.58,14.61,87.09,0.155,-0.195,0.19
15:33:52,MOVE,0.004,0.043,-7.976,5.0,-13.0,-8.0,,0,1,1,1,0,-20.97,22.13,81.88,0.433,-0.511,0.294
15:33:52,MOVE,0.064,-0.029,-7.941,5.0,-13.0,-8.0,,0,1,1,1,0,-18.64,23.86,76.52,0.702,-0.946,0.399
15:33:52,MOVE,0.157,-0.165,-7.892,5.0,-13.0,-8.0,,0,1,1,1,0,-12.87,20.42,71.24,0.859,-1.406,0.479
15:33:52,MOVE,0.243,-0.32,-7.844,5.0,-13.0,-8.0,,0,1,1,1,0,-10.04,15.85,64.81,0.89,-1.71,0.563
15:33:52,MOVE,0.333,-0.52,-7.782,5.0,-13.0,-8.0,,0,1,1,1,0,-10.38,11.34,56.13,0.883,-1.976,0.647
15:33:52,MOVE,0.412,-0.725,-7.719,5.0,-13.0,-8.0,,0,1,1,1,0,-12.29,7.94,47.38,0.887,-2.188,0.703
15:33:52,MOVE,0.489,-0.946,-7.651,5.0,-13.0,-8.0,,0,1,1,1,0,-14.68,4.61,37.01,0.92,-2.391,0.741
15:33:52,MOVE,0.586,-1.227,-7.569,5.0,-13.0,-8.0,,0,1,1,1,0,-16.47,1.04,25.11,0.994,-2.637,0.776
15:33:52,MOVE,0.668,-1.457,-7.503,5.0,-13.0,-8.0,,0,1,1,1,0,-16.97,-2.26,14.21,1.069,-2.83,0.801
15:33:52,MOVE,0.759,-1.702,-7.436,5.0,-13.0,-8.0,,0,1,1,1,0,-16.51,-5.39,3.8,1.152,-3.025,0.827
15:33:53,MOVE,0.88,-2.014,-7.353,5.0,-13.0,-8.0,,0,1,1,1,0,-14.96,-8.97,-9.01,1.261,-3.256,0.859
15:33:53,MOVE,1.002,-2.318,-7.276,5.0,-13.0,-8.0,,0,1,1,1,0,-12.63,-12.12,-22.12,1.372,-3.489,0.81
15:33:53,MOVE,1.137,-2.645,-7.211,5.0,-13.0,-8.0,,0,1,1,1,0,-9.73,-14.67,-35.44,1.494,-3.76,0.635
15:33:53,MOVE,1.283,-2.994,-7.159,5.0,-13.0,-8.0,,0,1,1,1,0,-6.68,-16.18,-47.63,1.596,-3.999,0.581
15:33:53,MOVE,1.438,-3.363,-7.111,5.0,-13.0,-8.0,,0,1,1,1,0,-3.6,-16.92,-59.25,1.683,-4.218,0.588
15:33:53,MOVE,1.6,-3.75,-7.061,5.0,-13.0,-8.0,,0,1,1,1,0,-0.74,-17.12,-69.97,1.759,-4.431,0.597
15:33:53,MOVE,1.767,-4.156,-7.01,5.0,-13.0,-8.0,,0,1,1,1,0,1.61,-16.98,-78.81,1.825,-4.639,0.607
15:33:53,MOVE,1.921,-4.54,-6.962,5.0,-13.0,-8.0,,0,1,1,1,0,3.31,-16.7,-85.32,1.879,-4.826,0.618
15:33:53,MOVE,2.094,-4.978,-6.908,5.0,-13.0,-8.0,,0,1,1,1,0,5.04,-16.25,-92.03,1.931,-5.028,0.631
15:33:53,MOVE,2.27,-5.434,-6.852,5.0,-13.0,-8.0,,0,1,1,1,0,6.2,-15.85,-96.52,1.979,-5.227,0.645
15:33:54,MOVE,2.432,-5.863,-6.798,5.0,-13.0,-8.0,,0,1,1,1,0,6.66,-14.85,-99.43,2.02,-5.401,0.689
15:33:54,MOVE,2.596,-6.305,-6.739,5.0,-13.0,-8.0,,0,1,1,1,0,5.36,-10.49,-101.23,2.052,-5.546,0.74
15:33:54,MOVE,2.793,-6.846,-6.665,5.0,-13.0,-8.0,,0,1,1,1,0,2.46,-3.91,-101.75,2.07,-5.627,0.745
